lat,lng,violationdescription
40.050526,-75.126076,CLIP VIOLATION NOTICE
40.050593,-75.126578,LICENSE-CHANGE OF ADDRESS
40.050593,-75.126578,LICENSE-RES SFD/2FD
39.991994,-75.128895,EXT A-CLEAN WEEDS/PLANTS
40.02326,-75.164848,EXT A-VACANT LOT CLEAN/MAINTAI
40.02326,-75.164848,EXT A-VACANT LOT CLEAN/MAINTAI
40.082215,-74.992958,HIGH WEEDS-CUT
40.082215,-74.992958,RUBBISH/GARBAGE EXTERIOR-OWNER
40.023187,-75.121737,EXT S-DOORKNOB REPAIR/REPLACE
40.02326,-75.164848,CLIP VIOLATION NOTICE
40.094888,-74.973259,HIGH WEEDS-CUT
40.022754,-75.165432,VACANT PROP STANDARD
40.022754,-75.165432,INT S-WALLS REPAIR/MAINT SANI
40.094909,-74.969343,"WINDOWS DOORS - GLASS, FRAMES"
40.094909,-74.969343,HIGH WEEDS-CUT
40.094521,-74.968912,CLIP VIOLATION NOTICE
40.022164,-75.121981,LICENSE-VAC RES BLDG
40.022164,-75.121981,HIGH WEEDS-CUT
39.981003,-75.227075,DOOR AND WINDOW VACANT
40.094512,-74.967988,EXTERIOR STRUCTURE WALLS
40.094477,-74.967942,PROHIBITED OCCUPANCY
40.094477,-74.967942,HANDRAILS AND GUARDS
40.094477,-74.967942,HANDRAILS AND GUARDS
40.094477,-74.967942,EXTERIOR STRUCT ROOF DRAINAGE
40.022406,-75.121872,FLOOR/CEILING PARTIALLY COLL
40.022406,-75.121872,EXT S-ROOF REPAIR
40.000792,-75.127034,VACANT PROP STANDARD
40.000966,-75.126996,ROOF FIRE DAMAGED
40.000966,-75.126996,WALL FIRE DAMAGED
40.023237,-75.121726,LICENSE-RES GENERAL
40.023237,-75.121726,CO DETECTOR NEEDED
40.023397,-75.122241,INT S-CEILING REPAIR/MAINT SAN
40.023447,-75.12223,DEBRIS REMOVE - CONSTR
40.023773,-75.121603,INT/EXT HANDRAIL REQ
40.023773,-75.121603,INT S-FLOOR REPAIR
40.023773,-75.121603,INT S-HANDRAIL REPAIR
40.023773,-75.121603,EXT S-DOOR REPAIR/REPLACE
39.981172,-75.131373,CLIP VIOLATION NOTICE
39.980958,-75.131131,LICENSE-VAC LOT
39.980766,-75.131186,LICENSE-VAC LOT
39.980793,-75.130993,INSURANCE - POST CERT
39.980793,-75.130993,LISTED CONDIT DOES NOT COMPLY
39.980793,-75.130993,LISTED CONDIT DOES NOT COMPLY
39.980727,-75.130917,CLIP VIOLATION NOTICE
39.980511,-75.130711,CLIP VIOLATION NOTICE
40.082626,-74.992236,HIGH WEEDS-CUT
39.994732,-75.127868,LICENSE-VAC RES BLDG
39.994732,-75.127868,LICENSE-RES GENERAL
40.022956,-75.165869,TREE ID
